繁体,分（石）,简体,分（林）,文学,报刊,多领域,微博,学术,古汉语,篇章检索,HSK,BCC
漢皇重色思傾國，,1,汉皇重色思倾国，,1,0,1,11,10,15,18,5,0,60
御宇多年求不得。,1,御宇多年求不得。,1,0,0,6,7,5,17,0,0,35
楊家有女初長成，,6,杨家有女初长成，,7,0,0,29,12,5,32,22,0,100
養在深閨人未識。,2,养在深闺人未识。,6,0,162,149,73,130,26,136,0,676
天生麗質難自棄，,2,天生丽质难自弃，,8,2,4,86,107,8,28,39,0,274
一朝選在君王側。,1,一朝选在君王侧。,3,0,0,8,12,4,31,4,0,59
回眸一笑百媚生，,5,回眸一笑百媚生，,6,1,15,165,247,31,33,36,0,528
六宮粉黛無顏色。,1,六宫粉黛无颜色。,4,0,4,54,1052,23,51,19,0,1203
春寒賜浴華清池，,1,春寒赐浴华清池，,1,0,5,23,15,6,25,10,0,84
溫泉水滑洗凝脂。,1,温泉水滑洗凝脂。,1,0,11,49,25,11,23,24,0,143
侍兒扶起嬌無力， ,1,侍儿扶起娇无力，,1,0,1,13,8,6,28,7,0,63
始是新承恩澤時。,1,始是新承恩泽时。,1,0,0,7,6,2,27,4,0,46
雲鬢花顏金步搖，,1,云鬓花颜金步摇，,1,0,1,8,7,7,12,0,0,35
芙蓉帳暖度春宵。,1,芙蓉帐暖度春宵。,1,0,0,37,12,2,32,5,0,88
春宵苦短日高起，,1,春宵苦短日高起，,1,0,1,11,17,8,19,1,0,57
從此君王不早朝。,2,从此君王不早朝。,7,0,0,37,39,12,26,9,0,123
承歡侍宴無閒暇，,1,承欢侍宴无闲暇，,1,0,1,2,0,2,10,0,0,15
春從春遊夜專夜。,1,春从春游夜专夜。,1,0,1,2,0,1,13,1,0,18
後宮佳麗三千人，,1,后宫佳丽三千人，,4,0,4,24,23,7,25,9,0,92
三千寵愛在一身。,8,三千宠爱在一身。,7,1,7,29,13,14,34,23,0,121
金屋妝成嬌侍夜，,1,金屋妆成娇侍夜，,1,0,0,0,0,0,17,0,0,17
玉樓宴罷醉和春。,1,玉楼宴罢醉和春。,1,0,0,1,1,0,25,0,0,27
姊妹弟兄皆列土，,1,姊妹弟兄皆列土，,1,0,0,2,0,5,13,0,0,20
可憐光彩生門戶。,1,可怜光彩生门户。,1,0,0,6,0,2,18,2,0,28
遂令天下父母心，,1,遂令天下父母心，,1,0,0,8,1,8,32,3,0,52
不重生男重生女。,8,不重生男重生女。,2,0,0,15,1,15,45,10,0,86
驪宮高處入青雲，,1,骊宫高处入青云，,1,0,1,1,0,1,10,0,0,13
仙樂風飄處處聞。,2,仙乐风飘处处闻。,1,0,1,3,0,7,19,1,0,31
緩歌慢舞凝絲竹，,1,缓歌慢舞凝丝竹，,1,0,0,2,0,5,18,0,0,25
盡日君王看不足。,1,尽日君王看不足。,1,0,0,1,0,3,15,0,0,19
